epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.359938,0.882435,0.258692,0.914203,0.001000
2,0.159263,0.946941,0.094622,0.972370,0.001000
3,0.110554,0.964022,0.109892,0.965099,0.001000
4,0.085831,0.971351,0.086285,0.972370,0.001000
5,0.072305,0.976681,0.081491,0.976248,0.001000
6,0.079134,0.975348,0.250498,0.926806,0.001000
7,0.063081,0.978437,0.064864,0.980126,0.001000
8,0.043548,0.985342,0.080557,0.977218,0.001000
9,0.051703,0.982798,0.182740,0.952496,0.001000
10,0.040659,0.986493,0.155260,0.957344,0.001000
11,0.012848,0.996002,0.032032,0.990305,0.000500
12,0.003934,0.999213,0.027475,0.993698,0.000500
13,0.006928,0.997517,0.036612,0.991275,0.000500
14,0.012993,0.995639,0.060665,0.984004,0.000500
15,0.010929,0.995942,0.265604,0.946195,0.000500
